,mean,std,ci_lo,ci_hi
Cooperator,66.871185,0.8558079344819285,66.3553764375,67.352572875
Defector,90.41283916666667,1.2377702905970511,89.73881164583332,91.17920833333332
TitForTat,105.52165749999999,0.6420195643274161,105.1574863125,105.91422322916667
Unforgiving,93.63503583333332,1.2662731049166829,92.859088,94.33747422916666
Pheromones,109.097325,9.735809892579274,103.5740146875,114.83115218750001
Learner,108.27084166666666,1.44919611035409,107.42272183333333,109.12665483333333
LearnerExt,102.45662499999999,1.7997111418173386,101.39176077083333,103.50990720833333
