,Cooperator,Defector,TitForTat,Unforgiving,Pheromones,Learner,LearnerExt
Cooperator,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Defector,0.00018267179110955002,1.0,0.00018267179110955002,0.0007685389131627665,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
TitForTat,0.00018267179110955002,0.00018267179110955002,1.0,0.00018267179110955002,1.0,0.0005828399431792743,0.0005828399431792743
Unforgiving,0.00018267179110955002,0.0007685389131627665,0.00018267179110955002,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Pheromones,0.00018267179110955002,0.00018267179110955002,1.0,0.00018267179110955002,1.0,0.7913367801006604,0.24132159301718004
Learner,0.00018267179110955002,0.00018267179110955002,0.0005828399431792743,0.00018267179110955002,0.7913367801006604,1.0,0.00018267179110955002
LearnerExt,0.00018267179110955002,0.00018267179110955002,0.0005828399431792743,0.00018267179110955002,0.24132159301718004,0.00018267179110955002,1.0
